5e68725e, 18-2-2020-12-28-46, 0e, 14
b8b8745e, 20-2-2020-6-36-8, 03, 3
5771725e, 18-2-2020-13-7-3, 10, 16
2c4d735e, 19-2-2020-4-45-0, 09, 9
4fc0735e, 19-2-2020-12-56-15, 02, 2
d293765e, 21-2-2020-16-23-14, 0b, 11
10ee715e, 18-2-2020-3-46-56, 0e, 14
d2fd725e, 19-2-2020--1-6-26, 0b, 11
3517725e, 18-2-2020-6-42-29, 0d, 13
3b5c735e, 19-2-2020-5-49-15, 04, 4
736d715e, 17-2-2020-18-38-11, 03, 3
2b7d735e, 19-2-2020-8-9-47, 0d, 13
c355725e, 18-2-2020-11-9-23, 03, 3
dd1a725e, 18-2-2020-6-58-5, 0e, 14
01ea755e, 21-2-2020-4-18-41, 08, 8
dea6735e, 19-2-2020-11-7-42, 0a, 10
dc30735e, 19-2-2020-2-44-12, 05, 5
2a42745e, 20-2-2020--2-10-18, 10, 16
55cc715e, 18-2-2020-1-23-1, 04, 4
6640715e, 17-2-2020-15-25-58, 0a, 10
3fa3725e, 18-2-2020-16-39-59, 04, 4
e480735e, 19-2-2020-8-25-40, 04, 4
0a29735e, 19-2-2020-2-10-50, 0c, 12
d617735e, 19-2-2020-0-57-26, 10, 16
da40755e, 20-2-2020-16-16-58, 04, 4
e08b725e, 18-2-2020-15-0-16, 07, 7
cc42735e, 19-2-2020-4-0-44, 0f, 15
83bd725e, 18-2-2020-18-32-3, 0a, 10
19f5725e, 19-2-2020--2-29-13, 02, 2
b5d7735e, 19-2-2020-14-36-5, 09, 9
6017745e, 19-2-2020-19-7-44, 08, 8
ae2a725e, 18-2-2020-8-5-34, 01, 1
ea14735e, 19-2-2020-0-44-58, 01, 1
5172715e, 17-2-2020-18-58-57, 02, 2
dce9715e, 18-2-2020-3-29-0, 09, 9
c2ec725e, 19-2-2020--3-53-38, 04, 4
e921735e, 19-2-2020-1-40-25, 03, 3
a804745e, 19-2-2020-17-47-52, 04, 4
ff36725e, 18-2-2020-8-58-7, 04, 4
921e745e, 19-2-2020-19-38-26, 07, 7
2465755e, 20-2-2020-18-51-48, 08, 8
e3c3725e, 18-2-2020-18-59-15, 01, 1
d1ef725e, 19-2-2020--2-6-41, 05, 5
9993725e, 18-2-2020-15-33-13, 02, 2
05b1735e, 19-2-2020-11-51-1, 03, 3
d774735e, 19-2-2020-7-34-15, 08, 8
36e4735e, 19-2-2020-15-29-26, 0c, 12
2902735e, 19-2-2020--1-24-57, 0d, 13
23bd725e, 18-2-2020-18-30-27, 06, 6
a9e6735e, 19-2-2020-15-39-53, 04, 4
b47c735e, 19-2-2020-8-7-48, 03, 3
dfcc735e, 19-2-2020-13-49-51, 08, 8
77fe735e, 19-2-2020-17-21-27, 03, 3
dbe6725e, 19-2-2020--3-28-27, 03, 3
0d6e735e, 19-2-2020-7-5-17, 02, 2
d164735e, 19-2-2020-6-25-53, 07, 7
7494725e, 18-2-2020-15-36-52, 0b, 11
6b96735e, 19-2-2020-9-57-31, 02, 2
6cac725e, 18-2-2020-17-19-8, 0f, 15
f31e765e, 21-2-2020-8-4-35, 0b, 11
6d5a735e, 19-2-2020-5-41-33, 0e, 14
42d7735e, 19-2-2020-14-34-10, 03, 3
4393735e, 19-2-2020-9-44-3, 0e, 14
d37d745e, 20-2-2020-2-24-51, 01, 1
1945725e, 18-2-2020-9-58-17, 0c, 12
5038735e, 19-2-2020-3-16-0, 06, 6
4372735e, 19-2-2020-7-23-15, 05, 5
9308755e, 20-2-2020-12-16-51, 07, 7
3e37735e, 19-2-2020-3-11-26, 04, 4
748f725e, 18-2-2020-15-15-32, 0c, 12
bb4a765e, 21-2-2020-11-11-23, 0c, 12
6253745e, 20-2-2020--1-23-46, 03, 3
e9c7725e, 18-2-2020-19-16-25, 0b, 11
a013745e, 19-2-2020-18-51-44, 0a, 10
338f735e, 19-2-2020-9-26-43, 10, 16
44e5735e, 19-2-2020-15-33-56, 02, 2
46f8735e, 19-2-2020-16-55-2, 05, 5
0987755e, 21-2-2020--3-16-25, 04, 4
5019745e, 19-2-2020-19-16-0, 0b, 11
0ce7735e, 19-2-2020-15-41-32, 0f, 15
b047735e, 19-2-2020-4-21-36, 02, 2
b89e735e, 19-2-2020-10-32-56, 01, 1
f5c7745e, 20-2-2020-7-41-9, 02, 2
211f735e, 19-2-2020-1-28-33, 0e, 14
380a745e, 19-2-2020-18-11-36, 02, 2
50cf725e, 18-2-2020-19-48-0, 0c, 12
8920735e, 19-2-2020-1-34-33, 02, 2
c24d735e, 19-2-2020-4-47-30, 08, 8
dca5735e, 19-2-2020-11-3-24, 04, 4
abcb735e, 19-2-2020-13-44-43, 0a, 10
1cf2735e, 19-2-2020-16-28-44, 08, 8
17d1745e, 20-2-2020-8-20-7, 10, 16
dea6735e, 19-2-2020-11-7-42, 0a, 10
a6ef735e, 19-2-2020-16-18-14, 0a, 10
d899725e, 18-2-2020-15-59-52, 0a, 10
a79c735e, 19-2-2020-10-24-7, 0c, 12
705b755e, 20-2-2020-18-10-24, 0b, 11
bc9a745e, 20-2-2020-4-28-12, 0f, 15
3445755e, 20-2-2020-16-35-32, 05, 5
232f745e, 19-2-2020-20-49-7, 02, 2
bae1725e, 19-2-2020--3-6-34, 06, 6
b1eb735e, 19-2-2020-16-1-21, 0b, 11
3550745e, 20-2-2020--1-10-13, 0e, 14
3e68765e, 21-2-2020-13-17-18, 08, 8
d737745e, 20-2-2020--3-26-15, 0a, 10
7c6b745e, 20-2-2020-1-6-36, 0d, 13
b0c7735e, 19-2-2020-13-27-44, 04, 4
c4b0745e, 20-2-2020-6-2-12, 04, 4
f422745e, 19-2-2020-19-57-8, 04, 4
974f735e, 19-2-2020-4-55-19, 03, 3
8f8b745e, 20-2-2020-3-23-27, 04, 4
c023745e, 19-2-2020-20-0-32, 0c, 12
fd38745e, 20-2-2020--3-31-9, 05, 5
3ef8755e, 21-2-2020-5-19-26, 10, 16
6e3a745e, 20-2-2020--3-37-18, 09, 9
e1b7735e, 19-2-2020-12-20-17, 05, 5
b81c755e, 20-2-2020-13-42-48, 0b, 11
0deb735e, 19-2-2020-15-58-37, 01, 1
19e3745e, 20-2-2020-9-36-57, 0e, 14
24e5755e, 21-2-2020-3-57-56, 02, 2
5f8d765e, 21-2-2020-15-55-43, 08, 8
7794755e, 21-2-2020--2-13-43, 0b, 11
5db8755e, 21-2-2020-0-46-53, 02, 2
6826745e, 19-2-2020-20-11-52, 03, 3
9f8a755e, 21-2-2020--3-31-43, 08, 8
23a4745e, 20-2-2020-5-8-19, 0e, 14
9880745e, 20-2-2020-2-36-40, 05, 5
d586755e, 21-2-2020--3-15-33, 05, 5
3c74745e, 20-2-2020-1-43-56, 08, 8
d2df755e, 21-2-2020-3-35-14, 0f, 15
7d47745e, 20-2-2020--2-33-1, 0b, 11
5fd1755e, 21-2-2020-2-33-35, 04, 4
3654745e, 20-2-2020--1-27-18, 02, 2
51e6745e, 20-2-2020-9-50-41, 03, 3
078a745e, 20-2-2020-3-16-55, 03, 3
8909755e, 20-2-2020-12-20-57, 06, 6
27c2745e, 20-2-2020-7-16-23, 08, 8
ac18765e, 21-2-2020-7-37-48, 0e, 14
0237745e, 20-2-2020--3-22-42, 01, 1
bd36755e, 20-2-2020-15-33-49, 0f, 15
9a1f755e, 20-2-2020-13-55-6, 02, 2
8161765e, 21-2-2020-12-48-33, 02, 2
a263745e, 20-2-2020-0-33-6, 07, 7
b6ce745e, 20-2-2020-8-9-58, 0b, 11
c963755e, 20-2-2020-18-46-1, 04, 4
170c765e, 21-2-2020-6-44-7, 02, 2
0b3d745e, 20-2-2020--3-48-27, 08, 8
dd1d755e, 20-2-2020-13-47-41, 04, 4
66ef745e, 20-2-2020-10-29-26, 02, 2
4938775e, 22-2-2020-4-4-57, 04, 4
86f1745e, 20-2-2020-10-38-30, 08, 8
eace755e, 21-2-2020-2-23-6, 0d, 13
fc65745e, 20-2-2020-0-43-8, 04, 4
3dc6765e, 21-2-2020-19-58-21, 02, 2
590b755e, 20-2-2020-12-28-41, 01, 1
76f6755e, 21-2-2020-5-11-50, 04, 4
1d36765e, 21-2-2020-9-43-25, 02, 2
b419755e, 20-2-2020-13-29-56, 08, 8
12a2745e, 20-2-2020-4-59-30, 02, 2
8b7a745e, 20-2-2020-2-10-51, 02, 2
987f745e, 20-2-2020-2-32-24, 0c, 12
6691745e, 20-2-2020-3-48-22, 0a, 10
0b77755e, 20-2-2020-20-8-11, 0c, 12
e3c1745e, 20-2-2020-7-15-15, 05, 5
1be1745e, 20-2-2020-9-28-27, 0d, 13
241f775e, 22-2-2020-2-17-40, 05, 5
6cf2755e, 21-2-2020-4-54-36, 09, 9
7ff2785e, 23-2-2020-11-31-43, 0c, 12
8a22785e, 22-2-2020-20-44-26, 09, 9
bd36755e, 20-2-2020-15-33-49, 0f, 15
a615755e, 20-2-2020-13-12-38, 03, 3
93d5745e, 20-2-2020-8-39-15, 04, 4
8353755e, 20-2-2020-17-36-35, 02, 2
cbf1745e, 20-2-2020-10-39-39, 0c, 12
19e3745e, 20-2-2020-9-36-57, 0e, 14
036d755e, 20-2-2020-19-25-23, 0a, 10
5eac755e, 21-2-2020--1-55-42, 04, 4
38fb765e, 22-2-2020--1-44-24, 09, 9
e9fa745e, 20-2-2020-11-18-33, 04, 4
4e25755e, 20-2-2020-14-19-26, 0a, 10
776c755e, 20-2-2020-19-23-3, 03, 3
5aaa755e, 21-2-2020--1-47-6, 0e, 14
85a8755e, 21-2-2020--1-39-17, 01, 1
100e785e, 22-2-2020-19-17-4, 06, 6
ab84765e, 21-2-2020-15-18-35, 09, 9
0e89765e, 21-2-2020-15-37-18, 0c, 12
a28f755e, 21-2-2020--3-53-6, 06, 6
bc9a745e, 20-2-2020-4-28-12, 0f, 15
004a755e, 20-2-2020-16-56-0, 0a, 10
185b755e, 20-2-2020-18-8-56, 01, 1
f65c755e, 20-2-2020-18-16-54, 09, 9
b203755e, 20-2-2020-11-56-2, 05, 5
9399755e, 21-2-2020--2-35-31, 03, 3
54c4745e, 20-2-2020-7-25-40, 01, 1
450c785e, 22-2-2020-19-9-25, 05, 5
818e755e, 21-2-2020--3-48-17, 0a, 10
673f755e, 20-2-2020-16-10-47, 03, 3
673f755e, 20-2-2020-16-10-47, 03, 3
d0a5765e, 21-2-2020-17-40-0, 0a, 10
4c59775e, 22-2-2020-6-25-48, 0e, 14
ae09785e, 22-2-2020-18-58-22, 01, 1
4a0f765e, 21-2-2020-6-57-46, 08, 8
0f37765e, 21-2-2020-9-47-27, 01, 1
53c4755e, 21-2-2020-1-37-55, 08, 8
f9fd755e, 21-2-2020-5-43-53, 03, 3
6f1b765e, 21-2-2020-7-49-35, 04, 4
70f6765e, 22-2-2020--1-24-0, 02, 2
d722775e, 22-2-2020-2-33-27, 02, 2
0e42765e, 21-2-2020-10-34-22, 0d, 13
c8d1755e, 21-2-2020-2-35-20, 03, 3
4517765e, 21-2-2020-7-31-49, 05, 5
0b01755e, 20-2-2020-11-44-43, 0a, 10
8bee765e, 22-2-2020--2-50-19, 04, 4
0364765e, 21-2-2020-12-59-15, 04, 4
16b0765e, 21-2-2020-18-23-50, 07, 7
7c81765e, 21-2-2020-15-5-0, 01, 1
f789765e, 21-2-2020-15-41-11, 0f, 15
5bac765e, 21-2-2020-18-7-55, 03, 3
5faa775e, 22-2-2020-12-11-43, 01, 1
5fd1755e, 21-2-2020-2-33-35, 04, 4
7862765e, 21-2-2020-12-52-40, 05, 5
37c8785e, 23-2-2020-8-31-19, 06, 6
94c9785e, 23-2-2020-8-37-8, 08, 8
d5c9765e, 21-2-2020-20-13-41, 0a, 10
eaea755e, 21-2-2020-4-22-34, 0e, 14
df5d765e, 21-2-2020-12-33-3, 0a, 10
f392765e, 21-2-2020-16-19-31, 05, 5
9b8f775e, 22-2-2020-10-17-31, 0c, 12
c20c775e, 22-2-2020-0-59-14, 03, 3
f80e765e, 21-2-2020-6-56-24, 0a, 10
8afb765e, 22-2-2020--1-45-46, 0a, 10
be29765e, 21-2-2020-8-50-38, 03, 3
99dc775e, 22-2-2020-15-46-1, 0b, 11
9fc7765e, 21-2-2020-20-4-15, 0c, 12
cf81765e, 21-2-2020-15-6-23, 0a, 10
5736775e, 22-2-2020-3-56-39, 08, 8
82e0775e, 22-2-2020-16-2-42, 0a, 10
ba82765e, 21-2-2020-15-10-18, 03, 3
de61775e, 22-2-2020-7-2-22, 01, 1
fad7765e, 22-2-2020--3-14-2, 03, 3
344d785e, 23-2-2020--1-46-28, 0b, 11
