Channel, Sequential, Size, Date 
4, 44232128, 12416, 2019-11-23 23:30:36
4, 44232188, 12350, 2019-11-23 23:30:38
4, 44232248, 12393, 2019-11-23 23:30:40
4, 44232308, 11030, 2019-11-23 23:30:42
4, 44232368, 11133, 2019-11-23 23:30:44
4, 44232428, 11292, 2019-11-23 23:30:46
4, 44232488, 11100, 2019-11-23 23:30:48
4, 44232548, 12263, 2019-11-23 23:30:50
4, 44232608, 11224, 2019-11-23 23:30:52
4, 44232668, 12455, 2019-11-23 23:30:54
4, 44232728, 12181, 2019-11-23 23:30:56
5, 44230863, 10857, 2019-11-23 23:30:26
5, 44230923, 9704, 2019-11-23 23:30:28
5, 44230983, 10783, 2019-11-23 23:30:30
5, 44231043, 9669, 2019-11-23 23:30:32
5, 44231103, 10803, 2019-11-23 23:30:34
5, 44231163, 10834, 2019-11-23 23:30:36
5, 44231223, 10814, 2019-11-23 23:30:38
5, 44231283, 10885, 2019-11-23 23:30:40
5, 44231343, 10793, 2019-11-23 23:30:42
5, 44231403, 10788, 2019-11-23 23:30:44
5, 44231463, 9498, 2019-11-23 23:30:46
5, 44231523, 9517, 2019-11-23 23:30:48
5, 44231583, 9552, 2019-11-23 23:30:50
5, 44231643, 9473, 2019-11-23 23:30:52
5, 44231703, 10662, 2019-11-23 23:30:54
5, 44231763, 10692, 2019-11-23 23:30:56
6, 44232081, 16359, 2019-11-23 23:30:26
6, 44232141, 14855, 2019-11-23 23:30:28
6, 44232201, 13614, 2019-11-23 23:30:30
6, 44232261, 14705, 2019-11-23 23:30:32
6, 44232321, 14833, 2019-11-23 23:30:34
6, 44232381, 14779, 2019-11-23 23:30:36
6, 44232441, 13623, 2019-11-23 23:30:38
6, 44232501, 13611, 2019-11-23 23:30:40
6, 44232561, 14808, 2019-11-23 23:30:42
6, 44232621, 14777, 2019-11-23 23:30:44
6, 44232681, 13601, 2019-11-23 23:30:46
6, 44232741, 11532, 2019-11-23 23:30:48
6, 44232801, 13767, 2019-11-23 23:30:50
6, 44232861, 16365, 2019-11-23 23:30:52
6, 44232921, 13522, 2019-11-23 23:30:54
6, 44232981, 14763, 2019-11-23 23:30:56
1, 44231678, 11612, 2019-11-23 23:30:26
1, 44231738, 13107, 2019-11-23 23:30:28
1, 44231798, 11741, 2019-11-23 23:30:30
1, 44231858, 13093, 2019-11-23 23:30:32
1, 44231918, 11516, 2019-11-23 23:30:34
1, 44231978, 13069, 2019-11-23 23:30:36
1, 44232038, 13136, 2019-11-23 23:30:38
1, 44232098, 11695, 2019-11-23 23:30:40
1, 44232158, 13155, 2019-11-23 23:30:42
1, 44232218, 12923, 2019-11-23 23:30:44
1, 44232278, 13103, 2019-11-23 23:30:46
1, 44232338, 11570, 2019-11-23 23:30:48
1, 44232398, 11579, 2019-11-23 23:30:50
1, 44232458, 13072, 2019-11-23 23:30:52
1, 44232518, 12906, 2019-11-23 23:30:54
1, 44232578, 11677, 2019-11-23 23:30:56
0, 44232015, 19230, 2019-11-23 23:30:26
0, 44232075, 20598, 2019-11-23 23:30:28
0, 44232135, 20536, 2019-11-23 23:30:30
0, 44232195, 19812, 2019-11-23 23:30:32
0, 44232255, 17238, 2019-11-23 23:30:34
0, 44232315, 20548, 2019-11-23 23:30:36
0, 44232375, 20532, 2019-11-23 23:30:38
0, 44232435, 21873, 2019-11-23 23:30:40
0, 44232495, 20188, 2019-11-23 23:30:42
0, 44232555, 21629, 2019-11-23 23:30:44
0, 44232615, 18000, 2019-11-23 23:30:46
0, 44232675, 20149, 2019-11-23 23:30:48
0, 44232735, 20291, 2019-11-23 23:30:50
0, 44232795, 20283, 2019-11-23 23:30:52
0, 44232855, 20311, 2019-11-23 23:30:54
0, 44232915, 21677, 2019-11-23 23:30:56
2, 44231960, 13488, 2019-11-23 23:30:58
2, 44232020, 13409, 2019-11-23 23:31:0
2, 44232080, 13782, 2019-11-23 23:31:2
2, 44232140, 13758, 2019-11-23 23:31:4
2, 44232200, 13518, 2019-11-23 23:31:6
2, 44232260, 13546, 2019-11-23 23:31:8
2, 44232320, 13746, 2019-11-23 23:31:10
2, 44232380, 13562, 2019-11-23 23:31:12
2, 44232440, 13459, 2019-11-23 23:31:14
2, 44232500, 12443, 2019-11-23 23:31:16
2, 44232560, 12341, 2019-11-23 23:31:18
2, 44232620, 12198, 2019-11-23 23:31:20
2, 44232680, 11508, 2019-11-23 23:31:22
2, 44232740, 12167, 2019-11-23 23:31:24
2, 44232800, 13572, 2019-11-23 23:31:26
3, 44231844, 8048, 2019-11-23 23:30:58
3, 44231904, 7092, 2019-11-23 23:31:0
3, 44231964, 8025, 2019-11-23 23:31:2
3, 44232024, 7399, 2019-11-23 23:31:4
3, 44232084, 7935, 2019-11-23 23:31:6
3, 44232144, 6788, 2019-11-23 23:31:8
3, 44232204, 7053, 2019-11-23 23:31:10
3, 44232264, 7925, 2019-11-23 23:31:12
3, 44232324, 7970, 2019-11-23 23:31:14
3, 44232384, 7957, 2019-11-23 23:31:16
3, 44232444, 8074, 2019-11-23 23:31:18
3, 44232504, 7967, 2019-11-23 23:31:20
3, 44232564, 8019, 2019-11-23 23:31:22
3, 44232624, 7958, 2019-11-23 23:31:24
3, 44232684, 7734, 2019-11-23 23:31:26
4, 44232788, 11127, 2019-11-23 23:30:58
4, 44232848, 11026, 2019-11-23 23:31:0
4, 44232908, 11144, 2019-11-23 23:31:2
4, 44232968, 11191, 2019-11-23 23:31:4
4, 44233028, 11165, 2019-11-23 23:31:6
4, 44233088, 12429, 2019-11-23 23:31:8
4, 44233148, 11026, 2019-11-23 23:31:10
4, 44233208, 11040, 2019-11-23 23:31:12
4, 44233268, 12202, 2019-11-23 23:31:14
4, 44233328, 11097, 2019-11-23 23:31:16
4, 44233388, 11189, 2019-11-23 23:31:18
4, 44233448, 11209, 2019-11-23 23:31:20
4, 44233508, 11099, 2019-11-23 23:31:22
4, 44233568, 11042, 2019-11-23 23:31:24
4, 44233628, 12377, 2019-11-23 23:31:26
5, 44231823, 10733, 2019-11-23 23:30:58
5, 44231883, 10540, 2019-11-23 23:31:0
5, 44231943, 9472, 2019-11-23 23:31:2
5, 44232003, 10624, 2019-11-23 23:31:4
5, 44232063, 10564, 2019-11-23 23:31:6
5, 44232123, 10733, 2019-11-23 23:31:8
5, 44232183, 10660, 2019-11-23 23:31:10
5, 44232243, 10653, 2019-11-23 23:31:12
5, 44232303, 10682, 2019-11-23 23:31:14
5, 44232363, 9570, 2019-11-23 23:31:16
5, 44232423, 10717, 2019-11-23 23:31:18
5, 44232483, 9571, 2019-11-23 23:31:20
5, 44232543, 9563, 2019-11-23 23:31:22
5, 44232603, 10833, 2019-11-23 23:31:24
5, 44232663, 10810, 2019-11-23 23:31:26
1, 44232638, 13032, 2019-11-23 23:30:58
1, 44232698, 11504, 2019-11-23 23:31:0
1, 44232758, 12944, 2019-11-23 23:31:2
1, 44232818, 13163, 2019-11-23 23:31:4
1, 44232878, 11644, 2019-11-23 23:31:6
1, 44232938, 11633, 2019-11-23 23:31:8
1, 44232998, 13087, 2019-11-23 23:31:10
1, 44233058, 13006, 2019-11-23 23:31:12
1, 44233118, 11600, 2019-11-23 23:31:14
1, 44233178, 13041, 2019-11-23 23:31:16
1, 44233238, 11640, 2019-11-23 23:31:18
1, 44233298, 13036, 2019-11-23 23:31:20
1, 44233358, 11592, 2019-11-23 23:31:22
1, 44233418, 13156, 2019-11-23 23:31:24
1, 44233478, 13062, 2019-11-23 23:31:26
6, 44233041, 14826, 2019-11-23 23:30:58
6, 44233101, 16374, 2019-11-23 23:31:0
6, 44233161, 13597, 2019-11-23 23:31:2
6, 44233221, 13557, 2019-11-23 23:31:4
6, 44233281, 16473, 2019-11-23 23:31:6
6, 44233341, 14827, 2019-11-23 23:31:8
6, 44233401, 13509, 2019-11-23 23:31:10
6, 44233461, 11434, 2019-11-23 23:31:12
6, 44233521, 16346, 2019-11-23 23:31:14
6, 44233581, 14794, 2019-11-23 23:31:16
6, 44233641, 13640, 2019-11-23 23:31:18
6, 44233701, 13597, 2019-11-23 23:31:20
6, 44233761, 14790, 2019-11-23 23:31:22
6, 44233821, 14746, 2019-11-23 23:31:24
6, 44233881, 13547, 2019-11-23 23:31:26
0, 44232975, 19182, 2019-11-23 23:30:58
0, 44233035, 21425, 2019-11-23 23:31:0
0, 44233095, 20258, 2019-11-23 23:31:2
0, 44233155, 21342, 2019-11-23 23:31:4
0, 44233215, 21533, 2019-11-23 23:31:6
0, 44233275, 21408, 2019-11-23 23:31:8
0, 44233335, 21410, 2019-11-23 23:31:10
0, 44233395, 20203, 2019-11-23 23:31:12
0, 44233455, 19700, 2019-11-23 23:31:14
0, 44233515, 18827, 2019-11-23 23:31:16
0, 44233575, 20970, 2019-11-23 23:31:18
0, 44233635, 18016, 2019-11-23 23:31:20
0, 44233695, 16043, 2019-11-23 23:31:22
0, 44233755, 20102, 2019-11-23 23:31:24
0, 44233815, 20642, 2019-11-23 23:31:26
0, 44233875, 20523, 2019-11-23 23:31:28
4, 44233688, 12346, 2019-11-23 23:31:28
4, 44233748, 11203, 2019-11-23 23:31:30
4, 44233808, 10995, 2019-11-23 23:31:32
4, 44233868, 11247, 2019-11-23 23:31:34
4, 44233928, 11342, 2019-11-23 23:31:36
4, 44233988, 11218, 2019-11-23 23:31:38
4, 44234048, 12303, 2019-11-23 23:31:40
4, 44234108, 11086, 2019-11-23 23:31:42
4, 44234168, 12397, 2019-11-23 23:31:44
4, 44234228, 11020, 2019-11-23 23:31:46
4, 44234288, 12584, 2019-11-23 23:31:48
4, 44234348, 10980, 2019-11-23 23:31:50
4, 44234408, 12217, 2019-11-23 23:31:52
4, 44234468, 11102, 2019-11-23 23:31:54
4, 44234528, 11120, 2019-11-23 23:31:56
4, 44234588, 12487, 2019-11-23 23:31:58
5, 44232723, 10833, 2019-11-23 23:31:28
5, 44232783, 9558, 2019-11-23 23:31:30
5, 44232843, 9664, 2019-11-23 23:31:32
5, 44232903, 10792, 2019-11-23 23:31:34
5, 44232963, 10765, 2019-11-23 23:31:36
5, 44233023, 10873, 2019-11-23 23:31:38
5, 44233083, 10870, 2019-11-23 23:31:40
5, 44233143, 9686, 2019-11-23 23:31:42
5, 44233203, 9750, 2019-11-23 23:31:44
5, 44233263, 9869, 2019-11-23 23:31:46
5, 44233323, 9875, 2019-11-23 23:31:48
5, 44233383, 9939, 2019-11-23 23:31:50
5, 44233443, 11028, 2019-11-23 23:31:52
5, 44233503, 11004, 2019-11-23 23:31:54
5, 44233563, 9804, 2019-11-23 23:31:56
5, 44233623, 9719, 2019-11-23 23:31:58
1, 44233538, 13212, 2019-11-23 23:31:28
1, 44233598, 11643, 2019-11-23 23:31:30
1, 44233658, 13120, 2019-11-23 23:31:32
1, 44233718, 11524, 2019-11-23 23:31:34
1, 44233778, 13123, 2019-11-23 23:31:36
1, 44233838, 13115, 2019-11-23 23:31:38
1, 44233898, 13076, 2019-11-23 23:31:40
1, 44233958, 13159, 2019-11-23 23:31:42
1, 44234018, 11639, 2019-11-23 23:31:44
1, 44234078, 11781, 2019-11-23 23:31:46
1, 44234138, 13142, 2019-11-23 23:31:48
1, 44234198, 11592, 2019-11-23 23:31:50
1, 44234258, 11637, 2019-11-23 23:31:52
1, 44234318, 11790, 2019-11-23 23:31:54
1, 44234378, 13112, 2019-11-23 23:31:56
1, 44234438, 13043, 2019-11-23 23:31:58
2, 44232860, 12371, 2019-11-23 23:31:28
2, 44232920, 13438, 2019-11-23 23:31:30
2, 44232980, 13586, 2019-11-23 23:31:32
2, 44233040, 13466, 2019-11-23 23:31:34
2, 44233100, 13484, 2019-11-23 23:31:36
2, 44233160, 13430, 2019-11-23 23:31:38
2, 44233220, 13424, 2019-11-23 23:31:40
2, 44233280, 12322, 2019-11-23 23:31:42
2, 44233340, 13611, 2019-11-23 23:31:44
2, 44233400, 13600, 2019-11-23 23:31:46
2, 44233460, 12143, 2019-11-23 23:31:48
2, 44233520, 13287, 2019-11-23 23:31:50
2, 44233580, 12125, 2019-11-23 23:31:52
2, 44233640, 13718, 2019-11-23 23:31:54
2, 44233700, 13434, 2019-11-23 23:31:56
2, 44233760, 13453, 2019-11-23 23:31:58
3, 44232744, 8026, 2019-11-23 23:31:28
3, 44232804, 7671, 2019-11-23 23:31:30
3, 44232864, 8010, 2019-11-23 23:31:32
3, 44232924, 8084, 2019-11-23 23:31:34
3, 44232984, 8120, 2019-11-23 23:31:36
3, 44233044, 8160, 2019-11-23 23:31:38
3, 44233104, 8056, 2019-11-23 23:31:40
3, 44233164, 8131, 2019-11-23 23:31:42
3, 44233224, 8050, 2019-11-23 23:31:44
3, 44233284, 8115, 2019-11-23 23:31:46
3, 44233344, 8000, 2019-11-23 23:31:48
3, 44233404, 7558, 2019-11-23 23:31:50
3, 44233464, 7957, 2019-11-23 23:31:52
3, 44233524, 7581, 2019-11-23 23:31:54
3, 44233584, 7046, 2019-11-23 23:31:56
3, 44233644, 7126, 2019-11-23 23:31:58
6, 44233941, 13700, 2019-11-23 23:31:28
6, 44234001, 14773, 2019-11-23 23:31:30
6, 44234061, 14825, 2019-11-23 23:31:32
6, 44234121, 13587, 2019-11-23 23:31:34
6, 44234181, 11533, 2019-11-23 23:31:36
6, 44234241, 14837, 2019-11-23 23:31:38
6, 44234301, 14804, 2019-11-23 23:31:40
6, 44234361, 12705, 2019-11-23 23:31:42
6, 44234421, 13453, 2019-11-23 23:31:44
6, 44234481, 13754, 2019-11-23 23:31:46
6, 44234541, 14877, 2019-11-23 23:31:48
6, 44234601, 12735, 2019-11-23 23:31:50
6, 44234661, 14653, 2019-11-23 23:31:52
6, 44234721, 14717, 2019-11-23 23:31:54
6, 44234781, 14779, 2019-11-23 23:31:56
6, 44234841, 13559, 2019-11-23 23:31:58
0, 44233935, 19134, 2019-11-23 23:31:30
0, 44233995, 20382, 2019-11-23 23:31:32
0, 44234055, 21720, 2019-11-23 23:31:34
0, 44234115, 19201, 2019-11-23 23:31:36
0, 44234175, 20331, 2019-11-23 23:31:38
0, 44234235, 20354, 2019-11-23 23:31:40
0, 44234295, 20421, 2019-11-23 23:31:42
0, 44234355, 19155, 2019-11-23 23:31:44
0, 44234415, 20270, 2019-11-23 23:31:46
0, 44234475, 20478, 2019-11-23 23:31:48
0, 44234535, 20369, 2019-11-23 23:31:50
0, 44234595, 20632, 2019-11-23 23:31:52
0, 44234655, 21909, 2019-11-23 23:31:54
0, 44234715, 20648, 2019-11-23 23:31:56
0, 44234775, 20847, 2019-11-23 23:31:58
1, 44234498, 13132, 2019-11-23 23:32:0
1, 44234558, 11747, 2019-11-23 23:32:2
1, 44234618, 11704, 2019-11-23 23:32:4
1, 44234678, 13010, 2019-11-23 23:32:6
1, 44234738, 11804, 2019-11-23 23:32:8
1, 44234798, 12981, 2019-11-23 23:32:10
1, 44234858, 11647, 2019-11-23 23:32:12
1, 44234918, 11636, 2019-11-23 23:32:14
1, 44234978, 13146, 2019-11-23 23:32:16
1, 44235038, 13100, 2019-11-23 23:32:18
1, 44235098, 11707, 2019-11-23 23:32:20
1, 44235158, 13054, 2019-11-23 23:32:22
1, 44235218, 13075, 2019-11-23 23:32:24
1, 44235278, 11674, 2019-11-23 23:32:26
1, 44235338, 13115, 2019-11-23 23:32:28
1, 44235398, 13217, 2019-11-23 23:32:30
4, 44234648, 11125, 2019-11-23 23:32:0
4, 44234708, 12381, 2019-11-23 23:32:2
4, 44234768, 12227, 2019-11-23 23:32:4
4, 44234828, 12462, 2019-11-23 23:32:6
4, 44234888, 11172, 2019-11-23 23:32:8
4, 44234948, 12307, 2019-11-23 23:32:10
4, 44235008, 11144, 2019-11-23 23:32:12
4, 44235068, 11165, 2019-11-23 23:32:14
4, 44235128, 12410, 2019-11-23 23:32:16
4, 44235188, 12423, 2019-11-23 23:32:18
4, 44235248, 12372, 2019-11-23 23:32:20
4, 44235308, 12232, 2019-11-23 23:32:22
